Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Clustering Coefficient,Eigenvector Centrality
KYQ,0.11907684753253131,0.006229346388798305,0.4778993930483813,0.2594664767489857,0.034364646751519026
NBQ,0.11870856862263687,0.003464513255224785,0.47867445813802,0.2755255319881551,0.03522663856571786
BPHB,0.11870856862263687,0.001737342149394249,0.42724492703633704,0.2689987560850683,0.03141990443331208
NRW,0.1185858089860054,0.0012417606390290369,0.4579342822136397,0.3185026177558889,0.03971255918003331
SV,0.11846304934937393,0.001723166741037809,0.4587779147427609,0.29328975799481416,0.03766365644617325
MCI,0.11846304934937393,0.0012907760381986582,0.4489814851023583,0.32236736916249303,0.03887904275125836
PSA,0.11784925116621656,0.001600386170820369,0.45693648962624756,0.28335200386075937,0.03441593719194676
WADI,0.11784925116621656,0.0012107486545657523,0.42128210927689563,0.2706246275222068,0.02157110318508106
MUR,0.11772649152958507,0.0013053977652663052,0.46539580558790855,0.3124254710231338,0.04020937127617927
BZU,0.1176037318929536,0.0010461876218945969,0.4477202302984301,0.3196564759954214,0.03984407598420137
KKDE,0.11748097225632212,0.0010520278831546747,0.42843937521944936,0.28945795706721156,0.031779828336589426
JNU,0.11735821261969065,0.001327191093446817,0.4451939876581988,0.3001644881709444,0.03843688145146899
FA,0.11723545298305917,0.0014409128002651427,0.46692285574979536,0.2527530233060991,0.03600975838877842
DBG,0.11698993370979623,0.0021732106875569095,0.45769756929996885,0.30409587398810883,0.03703100927243664
DHD,0.11686717407316474,0.0014060800282836964,0.42832423429625144,0.28977219732535053,0.03356428693176219
NDO,0.11686717407316474,0.0005247025518617259,0.41930925435841926,0.3428195563844668,0.026268153066571983
DAA,0.11686717407316474,0.0006179808383971393,0.4356296058099687,0.335285888753192,0.03652835759123462
BNC,0.11674441443653327,0.0034397894944236938,0.4391828260722931,0.23147175588826974,0.026873430158825436
SIL,0.11649889516327032,0.0021143600125510553,0.43475026618012863,0.2608137915930103,0.028795726303080055
SUR,0.11625337589000737,0.0036921039410868785,0.434181779398592,0.23687470405669545,0.024500281271226654
SEGM,0.11600785661674441,0.00137676345641467,0.44966552189830483,0.30892176970407265,0.03770492339057829
BVH,0.11600785661674441,0.0005066817356425211,0.4223538466759465,0.3348354033277668,0.03514382337325166
MLDT,0.11588509698011294,0.0044088831888382625,0.4597307245345424,0.2589920339331411,0.03291129238770859
BLS,0.11563957770684999,0.0017686728898918117,0.450708239301044,0.2609083217844352,0.03375593001809138
KTYM,0.11563957770684999,0.0016446398123025605,0.4594391685835548,0.29646141144342475,0.03322328067640224
SUNR,0.11563957770684999,0.0020687739935056496,0.46865280987307445,0.2904973824364662,0.035885920812364365
SSM,0.11539405843358704,0.00160169955920056,0.4495386912101178,0.28383205160914093,0.03584542585178147
HBD,0.11539405843358704,0.0008239716441327972,0.4295941983332484,0.31537319178110274,0.032714649532909236
BAQ,0.11478026025042966,0.0007877722965247637,0.4316418794866081,0.31761129362362417,0.03243710331619889
CNGR,0.11441198134053523,0.0015890680672891394,0.4578553507085181,0.2966420417943097,0.03265452209074764
SKM,0.11441198134053523,0.0005094534267105687,0.4217726462941547,0.33898601560617575,0.026466986940140217
GHY,0.11404370243064081,0.010399966882397778,0.46890099317927375,0.23627965230046577,0.029248523162972356
FUT,0.11392094279400933,0.0005169833407194376,0.43157175083031457,0.35495975356655385,0.04073069453653811
BLM,0.11392094279400933,0.0017381979850146292,0.4197067666867729,0.280634909507285,0.03476866127650226
CKP,0.11342990424748343,0.0015560215404674877,0.4563085420912596,0.28516459420843415,0.03290983932463124
KLD,0.11330714461085195,0.0008694182201223822,0.4609273167379119,0.33372749889547015,0.03918711279335871
MTC,0.11330714461085195,0.0016647569731827437,0.4341581247116185,0.27048930494550283,0.03326743012495738
MKC,0.11330714461085195,0.001256293803783811,0.4509122604584257,0.255500639073497,0.03581386365548075
FZD,0.113061625337589,0.0012302873567289294,0.4178800408537891,0.2975034114506081,0.03411710123883775
AF,0.11293886570095753,0.0018601267513669063,0.42099278245452787,0.261725587944288,0.030278363276957446
PBN,0.11281610606432606,0.0016754570510469232,0.4272678343832373,0.27143732257226416,0.024820443284693475
KGG,0.11244782715443162,0.0016509030506490618,0.46433821111069556,0.3129100587485997,0.03759500008457076
KUN,0.11232506751780015,0.0006580348840218292,0.43098823034514644,0.3145208792635459,0.031795999952682924
DBA,0.11232506751780015,0.0005734983047430966,0.4299418602148237,0.3384921655795211,0.034520377281109134
CPH,0.1120795482445372,0.0009213499260225083,0.4432871101452833,0.3205157310779055,0.03353458739645081
DMM,0.11195678860790573,0.00233671112773561,0.4492852443525826,0.2742864196455152,0.02995807734404066
GP,0.11158850969801129,0.000976736042838339,0.4256247598719093,0.2941928205777941,0.028032321939689176
PPI,0.11146575006137982,0.001153836472967367,0.44691673933496484,0.2942237914548447,0.03602837947319826
ATP,0.11048367296832802,0.0022784778681159907,0.44872866597678684,0.2762951529477266,0.029497312382900185
RMA,0.11036091333169654,0.000947853975501004,0.4453432647301754,0.31168596642862656,0.029922037171829157
CSN,0.11023815369506507,0.0025215281764583357,0.4190667006248295,0.30987218214044987,0.029858741181888818
NCB,0.11023815369506507,0.0044938110352490445,0.4725714510515186,0.27084774114621696,0.03096695805820031
BHC,0.10962435551190769,0.0015639668601054714,0.449335910858853,0.2703310020955892,0.03236004630010902
HD,0.1095015958752762,0.0005876478571688131,0.4347265495107609,0.35382696181135437,0.034984240732528794
